Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,4,10/03,Away,MIN,L,10 to 24,1,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,5,10/09,Away,GB,L,16 to 23,1,0,2,27,13.5,14,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,6,10/16,Home,BAL,W,27 to 23,1,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,7,10/23,Away,LA,W,17 to 10,1,0,1,5,5.0,5,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,9,11/06,Home,PHI,W,28 to 23,1,0,3,24,8.0,10,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,10,11/14,Home,CIN,W,21 to 20,1,0,3,18,6.0,10T,1,--,--,--,--,--,1,0
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,11,11/20,Home,CHI,W,22 to 16,1,0,0,0,--,--,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,12,11/27,Away,CLE,W,27 to 13,1,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,13,12/04,Away,PIT,L,14 to 24,1,0,1,10,10.0,10,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,14,12/11,Home,DAL,W,10 to 7,1,0,2,11,5.5,6,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,15,12/18,Home,DET,W,17 to 6,1,1,3,18,6.0,11,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,16,12/22,Away,PHI,L,19 to 24,1,1,1,9,9.0,9,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,17,01/01,Away,WAS,W,19 to 10,0,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Postseason,18,01/08,Away,GB,L,13 to 38,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quincyadeboyejo/2558906,"Adeboyejo, Quincy",WR,2018,Preseason,1,08/09,Home,LA,W,33 to 7,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quincyadeboyejo/2558906,"Adeboyejo, Quincy",WR,2017,Preseason,1,08/10,Home,WAS,W,23 to 3,1,1,2,24,12.0,14,0,--,--,--,--,--,--,--
quincyadeboyejo/2558906,"Adeboyejo, Quincy",WR,2017,Preseason,2,08/17,Away,MIA,W,31 to 7,1,0,0,0,--,--,0,--,--,--,--,--,--,--
quincyadeboyejo/2558906,"Adeboyejo, Quincy",WR,2017,Preseason,3,08/26,Home,BUF,W,13 to 9,1,0,1,7,7.0,7,0,--,--,--,--,--,--,--
quincyadeboyejo/2558906,"Adeboyejo, Quincy",WR,2017,Preseason,4,08/31,Away,NO,W,14 to 13,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quincyadeboyejo/2558906,"Adeboyejo, Quincy",WR,2017,Regular Season,17,12/31,Home,CIN,L,27 to 31,1,0,--,--,--,--,--,--,--,--,--,--,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2018,Preseason,1,08/09,Home,PIT,L,14 to 31,1,0,--,--,--,--,--,--,--,--,--,--,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2018,Preseason,2,08/16,Away,NE,L,20 to 37,0,0,--,--,--,--,--,--,--,--,--,--,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Preseason,1,08/10,Away,GB,L,9 to 24,1,1,--,--,--,--,--,1,-1,-1.0,-1,0,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Preseason,2,08/17,Home,BUF,W,20 to 16,1,1,2,28,14.0,21,0,1,0,0.0,0,0,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Preseason,3,08/24,Home,MIA,W,38 to 31,1,0,--,--,--,--,--,--,--,--,--,--,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Preseason,4,08/31,Away,NYJ,L,10 to 16,0,0,--,--,--,--,--,--,--,--,--,--,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,1,09/10,Away,WAS,W,30 to 17,1,0,6,86,14.3,58T,1,--,--,--,--,--,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,2,09/17,Away,KC,L,20 to 27,1,0,1,9,9.0,9T,1,--,--,--,--,--,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,3,09/24,Home,NYG,W,27 to 24,1,0,2,20,10.0,11,0,--,--,--,--,--,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,4,10/01,Away,LAC,W,26 to 24,1,1,3,58,19.3,36,0,--,--,--,--,--,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,5,10/08,Home,ARI,W,34 to 7,1,1,4,93,23.3,72T,1,--,--,--,--,--,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,6,10/12,Away,CAR,W,28 to 23,1,1,4,55,13.8,24T,1,--,--,--,--,--,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,7,10/23,Home,WAS,W,34 to 24,1,1,4,45,11.3,14,1,--,--,--,--,--,--,--
nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,8,10/29,Home,SF,W,33 to 10,1,1,3,26,8.7,17,0,--,--,--,--,--,--,--
